genre, spectral_rolloff_mean, mfcc_1_mean, spectral_centroids, tempo
blues, 3805.7230301080335, 121.57067, 1784.1226412753101, 123.046875
blues, 3550.7136156830047, 123.98514, 1530.261766989378, 107.666015625
blues, 3042.4101154654873, 140.44087, 1552.8324814348227, 161.4990234375
blues, 2184.8790286035382, 150.0861, 1070.1534175250663, 172.265625
blues, 3579.9574708164155, 126.209496, 1835.1285127725687, 135.99917763157896
blues, 3481.4676306917054, 118.20316, 1832.0115969728529, 112.34714673913044
blues, 2795.910729498985, 130.27023, 1459.4696908114731, 123.046875
blues, 2955.3197165929523, 136.44833, 1451.8594137957502, 92.28515625
blues, 3782.441190998405, 122.49833, 1719.4633657271252, 83.35433467741936
blues, 3943.8319655416185, 115.16476, 1817.2305900912734, 129.19921875
blues, 2765.967419971723, 137.17355, 1410.0234234402553, 161.4990234375
blues, 2880.9110920279873, 124.010765, 1352.7427097237671, 161.4990234375
blues, 2738.8302548578886, 132.82741, 1360.6856016703396, 92.28515625
blues, 2711.4849187935033, 124.46475, 1324.5278252945684, 107.666015625
blues, 2344.9874700913574, 113.07102, 1171.967431930455, 151.99908088235293
blues, 2930.239280470563, 120.10219, 1420.4385714343975, 99.38401442307692
blues, 3010.010388721723, 120.66434, 1455.0726339660955, 103.359375
blues, 2135.41761075261, 140.48125, 1089.0053435041514, 161.4990234375
blues, 3495.331815998405, 104.94516, 1537.4913865266897, 83.35433467741936
blues, 2235.6144526718385, 138.4056, 1195.4981309471507, 123.046875
blues, 3006.1467358794953, 127.07773, 1390.3828142454302, 135.99917763157896
blues, 1831.2215641313805, 138.85434, 1046.775126610449, 99.38401442307692
blues, 2169.63258818518, 136.14453, 1155.869256708864, 99.38401442307692
blues, 2521.9827390878772, 137.76518, 1210.1413910383174, 95.703125
blues, 2324.212009226363, 130.40738, 1120.1665687071636, 103.359375
blues, 2243.3167778422276, 131.0003, 1109.3207630441668, 92.28515625
blues, 2478.8330644576567, 108.80131, 1198.8570176825062, 83.35433467741936
blues, 2811.740048578886, 130.32317, 1392.0263572927074, 95.703125
blues, 2290.6881593496228, 139.05774, 1115.5894796268246, 103.359375
blues, 3760.300128697796, 101.19028, 1648.8848322083286, 129.19921875
blues, 3015.6143507105567, 117.80414, 1379.0236797531356, 143.5546875
blues, 2898.630603338892, 110.8554, 1330.6062681557469, 151.99908088235293
blues, 2765.2346582257833, 105.90115, 1309.7746510229813, 123.046875
blues, 3246.1678418648494, 108.68233, 1430.602840242115, 151.99908088235293
blues, 3602.40662612384, 105.78522, 1537.076161948368, 129.19921875
blues, 3405.5518484447507, 120.28173, 1507.1579850499309, 129.19921875
blues, 2621.496780289298, 116.348595, 1247.5800479447862, 151.99908088235293
blues, 2339.8331573557134, 102.709816, 1188.4732078138645, 123.046875
blues, 3451.7991068191704, 111.157486, 1514.1569585845884, 129.19921875
blues, 2312.1797282845127, 111.53328, 1151.310495788512, 117.45383522727273
blues, 5108.157072487674, 90.71587, 2272.4696393575086, 117.45383522727273
blues, 5403.593285509716, 88.4929, 2390.421813618198, 129.19921875
blues, 5187.511838837732, 69.806015, 2301.5769168965485, 89.10290948275862
blues, 5011.532444079901, 100.61966, 2155.845202161907, 129.19921875
blues, 5198.686455463312, 86.928795, 2279.0311186490426, 135.99917763157896
blues, 4551.058301460992, 89.78384, 1739.118783072362, 129.19921875
blues, 4777.714832420968, 90.67421, 1913.013075046242, 123.046875
blues, 4848.792721777118, 93.663895, 2013.0124617688698, 151.99908088235293
blues, 4672.105545787413, 102.66919, 2148.129104035022, 123.046875
blues, 3046.5652076384863, 110.83974, 1318.6118508553823, 123.046875
blues, 4174.460398238109, 107.10441, 1945.2525228542231, 135.99917763157896
blues, 3943.357335774362, 114.9514, 1977.0957174136204, 99.38401442307692
blues, 3070.6131158461426, 117.62647, 1443.7501126322204, 151.99908088235293
blues, 4237.303044790458, 105.751114, 2171.3957422720478, 103.359375
blues, 4063.222169101653, 109.0066, 2030.617038436817, 92.28515625
blues, 4023.536459088602, 104.79962, 2031.9933849222396, 135.99917763157896
blues, 3927.985992785673, 102.850784, 1811.5485980815154, 161.4990234375
blues, 3828.2471269576567, 115.32343, 1886.957781353486, 92.28515625
blues, 4231.815658533933, 105.23433, 2068.3321715132806, 107.666015625
blues, 4389.459355967228, 91.95878, 2235.5723889220876, 107.666015625
blues, 3955.7143633990718, 111.7113, 1946.448570450021, 151.99908088235293
blues, 5077.364425482164, 94.164505, 2503.937744869009, 129.19921875
blues, 4732.98305856656, 95.732994, 2280.1541868844874, 112.34714673913044
blues, 5711.47812137471, 72.09806, 2839.8868647026125, 92.28515625
blues, 5148.284104915893, 88.807526, 2553.3610730069104, 151.99908088235293
blues, 5613.737696671984, 74.87531, 2816.3627737389425, 107.666015625
blues, 4972.721052059164, 97.43107, 2340.7341614757443, 161.4990234375
blues, 4754.616183747825, 101.38746, 2258.115149720309, 161.4990234375
blues, 5246.740637688515, 88.7261, 2513.3453575324424, 161.4990234375
blues, 5005.187393507105, 96.09719, 2371.3090530621967, 123.046875
blues, 4684.512534440255, 105.73889, 2159.398277499849, 143.5546875
blues, 5065.090666237674, 93.79924, 2429.004094087016, 143.5546875
blues, 5659.768457257831, 87.64562, 2594.754688044524, 103.359375
blues, 4482.603366081787, 103.738075, 2094.7777929276835, 99.38401442307692
blues, 5770.831822795823, 87.851326, 2515.4635686314255, 112.34714673913044
blues, 4700.258585139936, 92.72617, 2224.014584740541, 117.45383522727273
blues, 5612.422056264501, 74.45461, 2645.7246950388817, 117.45383522727273
blues, 4658.224706804669, 104.531006, 2207.1391896914824, 99.38401442307692
blues, 4942.777742531903, 101.26548, 2333.5524820822284, 123.046875
blues, 5267.915786778567, 92.929634, 2442.941257538624, 161.4990234375
classical, 2717.238763866734, 135.68166, 1505.3574604811247, 95.703125
classical, 2389.011462713892, 133.56267, 1361.006486221469, 117.45383522727273
classical, 2785.4189135912125, 141.11952, 1490.2748102133896, 99.38401442307692
classical, 2916.150270537268, 127.400604, 1526.6289318249862, 135.99917763157896
classical, 3175.8060605785963, 118.92715, 1705.7912691531124, 107.666015625
classical, 2836.06274244127, 138.1797, 1431.080146867151, 143.5546875
classical, 2737.930956351508, 134.5378, 1372.6940993686428, 103.359375
classical, 2668.2852831351506, 135.92358, 1358.9954445281364, 107.666015625
classical, 2974.3215609592517, 127.76223, 1516.848913603582, 135.99917763157896
classical, 2560.7691505945477, 139.79785, 1216.3713864035042, 129.19921875
classical, 2868.703947487674, 128.71162, 1497.5036380467259, 103.359375
classical, 1697.3176818989268, 177.20355, 950.1801498031009, 151.99908088235293
classical, 2154.8524506960557, 143.90761, 1180.5324896152028, 117.45383522727273
classical, 2598.6645904328598, 140.10466, 1388.1392656380106, 129.19921875
classical, 2389.161345798289, 147.81375, 1279.515451953795, 143.5546875
classical, 2619.5566270301624, 124.97929, 1371.4447396060193, 123.046875
classical, 1947.5391644612819, 154.85045, 1054.7328868522366, 99.38401442307692
classical, 2417.539209777407, 148.68465, 1358.6023759424481, 117.45383522727273
classical, 2181.9063474296695, 145.72554, 1157.8655406408502, 129.19921875
classical, 2290.6215446454466, 141.50447, 1185.144479134992, 123.046875
classical, 2294.676714762181, 161.12791, 1218.151449471981, 143.5546875
classical, 2570.2867264537413, 147.88019, 1371.3948853640532, 135.99917763157896
classical, 2237.3880691705335, 160.00061, 1211.4313268289068, 107.666015625
classical, 1853.1294749673723, 163.08134, 983.9717194937225, 117.45383522727273
classical, 2292.7698688551336, 163.25397, 1253.0323992049648, 151.99908088235293
classical, 2139.4394735172564, 173.31781, 1184.2726167313847, 129.19921875
classical, 2233.232976997535, 143.68849, 1278.5184062359622, 151.99908088235293
classical, 1456.4555652733468, 181.60039, 901.7378802312896, 129.19921875
classical, 2398.803824227813, 153.91904, 1314.399292126819, 151.99908088235293
classical, 2923.1947755039155, 130.24132, 1559.3040287466674, 135.99917763157896
classical, 2352.889639374275, 149.6681, 1243.6691621009466, 117.45383522727273
classical, 1434.531000761311, 172.43167, 822.6139611536199, 112.34714673913044
classical, 1207.4498010622099, 177.51414, 792.9088884169765, 123.046875
classical, 2165.7939158570184, 120.76844, 1128.3811387274027, 123.046875
classical, 2655.1038985462587, 138.65692, 1369.5923998136097, 123.046875
classical, 1823.9772150522042, 166.00253, 1016.2036312413031, 151.99908088235293
classical, 2441.9035378299013, 127.41256, 1282.3275301478, 123.046875
classical, 2837.7197832076567, 125.33516, 1533.6492784629645, 151.99908088235293
classical, 2378.020036524797, 146.32536, 1279.4808753417974, 112.34714673913044
classical, 3161.83362637761, 116.79858, 1633.5822989966382, 129.19921875
classical, 2652.764057062065, 129.07834, 1396.7128037657276, 112.34714673913044
classical, 2462.2959641458815, 124.2544, 1329.4563630678217, 123.046875
classical, 2171.396349985665, 164.26509, 1326.2905913173308, 99.38401442307692
classical, 1610.985025286398, 161.55922, 1063.396723083687, 123.046875
classical, 2033.66365012326, 153.97675, 1181.884073002171, 129.19921875
classical, 1903.8084622896636, 156.89876, 1176.9449938974453, 184.5703125
classical, 3633.3658098897913, 118.44306, 1878.4940039517187, 129.19921875
classical, 2083.7912150159514, 154.08043, 1174.3248424594703, 123.046875
classical, 2767.1079847547744, 148.59566, 1514.0972710756876, 143.5546875
classical, 4467.456319236165, 98.35551, 2224.8938399288413, 143.5546875
classical, 2360.475388812355, 151.49677, 1170.256219376788, 123.046875
classical, 3220.8305240784634, 119.15338, 1527.645526264714, 135.99917763157896
classical, 4993.363283515806, 86.64906, 2411.5244663469507, 161.4990234375
classical, 2740.2111359458554, 149.66736, 1462.3835644748758, 107.666015625
classical, 2820.988903306935, 127.27673, 1702.24789858299, 129.19921875
classical, 1764.6318404691126, 144.165, 1079.788869352158, 123.046875
classical, 3078.3259073893228, 129.04564, 1681.2723869009876, 112.34714673913044
classical, 3236.583651301479, 112.819145, 1751.5809593775805, 107.666015625
classical, 1821.3126268851508, 161.8574, 1137.8827996451196, 129.19921875
classical, 2841.008884226363, 137.38995, 1551.3608602773115, 117.45383522727273
